Return Authorization Id,Tracking Id,Return Creation Date,Order Id,Return Ship Option,Carrier Package Id,
DXW2nQnwRRMA,624636945520,2022-04-09T01:41:01Z,405-7886187-0730745,Pickup,Not Available,
DXr2n7nlRRMA,624629128954,2022-04-05T18:23:50Z,405-7723491-2677157,Pickup,Not Available,
D6rmnNn0RRMA,624629117125,2022-04-05T18:20:52Z,406-2565711-2563543,Pickup,Not Available,
DbP3nMnbRRMA,624625782150,2022-04-04T13:09:34Z,405-8622595-7571563,Pickup,Not Available,
D09GxJnSRRMA,513212087863,2022-03-30T00:24:23Z,405-6846938-9905957,SellerAMZLPickup,Not Available,
DM3v3Tn1RRMA,624595033238,2022-03-23T03:12:37Z,405-2026107-8061931,Pickup,Not Available,
DP3s3fn1RRMA,624595016996,2022-03-23T03:07:44Z,405-8887780-2117124,Pickup,Not Available,
DRWQ3dnnRRMA,513200291791,2022-03-19T13:10:56Z,405-7845123-1035528,SellerAMZLPickup,Not Available,
DnQG3hnvRRMA,624585218812,2022-03-19T03:33:53Z,405-8622595-7571563,Pickup,Not Available,
D6Qy3HnzRRMA,624585190453,2022-03-19T03:10:47Z,405-9999321-6134718,Pickup,Not Available,
DnQ33qnzRRMA,624585187538,2022-03-19T03:08:04Z,405-3038781-8417160,Pickup,Not Available,
DwQt3xnzRRMA,624585182311,2022-03-19T03:05:28Z,405-3038781-8417160,Pickup,Not Available,
DS6Z3snwRRMA,624584907830,2022-03-18T17:00:14Z,405-2026107-8061931,Pickup,Not Available,
